kode_desa;kode_karts;nama_objek;jenis;x;y;z;provinsi;kabupaten;kecamatan;desa;dukuh;tempat_unik;letak;akses;biota;potensi;pemanfaatan;keterangan
3312010001;GNS_WNG_PRC;Luweng Paseban;GUA V;478063;9098131;;Jawa Tengah;Wonogiri;Pracimantoro;Sumberagung;Pakem;;Pusat Depresi;;;Hidrologi 12 l/s;Sudah dimanfaatkan;pemanfaatan domestik
3312010001;GNS_WNG_PRC;Luweng Telogo Pilah;GUA V;477229;9098544;;Jawa Tengah;Wonogiri;Pracimantoro;Sumberagung;Pakem;;Lereng Depresi;;;;Sudah dimanfaatkan;pemanfaatan domestik
3312010001;GNS_WNG_PRC;Luweng Logundes;GUA V;477544;9098443;;Jawa Tengah;Wonogiri;Pracimantoro;Sumberagung;Pakem;;Pusat Depresi;;;;;
3312010001;GNS_WNG_PRC;Luweng Songo;GUA V;476631;9101010;;Jawa Tengah;Wonogiri;Pracimantoro;Sumberagung;Ngaluran;;Pusat Depresi;;;Hidrologi 12 l/s;;Telah diangkat airnya
3312010001;GNS_WNG_PRC;Song Gembrung;GOA V;478332;9100669;;Jawa Tengah;Wonogiri;Pracimantoro;Sumber Agung;Ngaluran;Bak Air Pemandian Warga;Pusat Depresi;Jalan Setapak;Kelelawar, Tokek, Kupu-Kupu, Burung;;Tidak Dimanfaatkan;Terdapat Longsoran Kecil dan di Area Enterens Bisa di Manfaatkan Untuk Latihan BolderSerta Terletak di Sungai Bengawan Solo Purba
3312010001;GNS_WNG_PRC;Goa Pendak;GOA V;479258;9100441;;Jawa Tengah;Wonogiri;Pracimantoro;Sumber Agung;Mendak;;Lereng Depresi;Jalan Setapak;Jangkrik;;Tidak Dimanfaatkan;Berada di Lereng Bukit Milik Pak Rakimin
3312010001;GNS_WNG_PRC;Song Terus;GOA H;478299;9102243;;Jawa Tengah;Wonogiri;Pracimantoro;Sumber Agung;Pundung Sari;Enterens diTumbuhi Pohon Bambu;Lereng Depresi;Jalan Kabupaten;Jangkrik;;Sudah Dimanfaatkan;Goanya Bisa Tembus dan Jaraknya Pendek
3312010001;GNS_WNG_PRC;Song Blumbung;GOA V;478302;9101709;;Jawa Tengah;Wonogiri;Pracimantoro;Sumber Agung;Digal;;Lereng Depresi;Jalan Kabupaten;Sriti, jangkrik, Tonggeret;;Sudah Dimanfaatkan;Digunakan Sebagai Tambang, Kedalam 3m
3312010001;GNS_WNG_PRC;Ponor;GOA V;478309;9101683;;Jawa Tengah;Wonogiri;Pracimantoro;Sumber Agung;Digal;Pring Ori;Lereng Depresi;Jalan Kabupaten;;;Sudah Dimanfaatkan;Untuk Membuang Sampah
3312010001;GNS_WNG_PRC;Luweng Drutah;GOA V;478403;9101859;;Jawa Tengah;Wonogiri;Pracimantoro;Sumber Agung;Digal;;Lereng Depresi;Jalan Kabupaten;Jangkrik, Nyamuk, Lalat;;Sudah Dimanfaatkan;Tempat Pembuangan sampah dan Sudah Tertutup Longsoran 
3312010001;GNS_WNG_PRC;Luweng Tukluan;GOA V;478462;9102002;;Jawa Tengah;Wonogiri;Pracimantoro;Sumber Agung;Digal;;Lereng Depresi;Jalan Setapak;Landak, Siput;;Sudah Dimanfaatkan;Untuk Rumah Landak dan Sudah Ditutup Oleh Batu
3312010001;GNS_WNG_PRC;Goa Makam;GOA H;479206;9101347;;Jawa Tengah;Wonogiri;Pracimantoro;Sumber Agung;Meri;Makam;Puncak Bukit;Jalan Desa Beton;Nyamuk;;Sudah Dimanfaatkan;Terdapat 2 Enteren Digunakan Sebagai Makam Bayi dan Tempat Pembuangan Sampah
